ID,LAT,LONG,T_SEASON,TDIFF,T_SUMMER,T_WINTER,PRE_YEAR,PRE_SUMMER,PRE_WINTER,ELEV,SLOPE,ASPECT,TMIN_JUL,TMIN_JAN,PERC_SEA,SHRUB,SAVANNA,GRASS,LAKE,CROP,URBAN,MOSAIC,BARE,FOREST
7516,-758250,-1691404,259.08,19.49,29.34,22.84,1145.83,270.55,16,73.72,0.14,1.44,16.04,24.24,0,0.01,0.99,0,0,0,0,0,0,0
7016,-708250,-1691404,259.14,19.73,30.2,23.6,1035.37,242.61,13.39,169.79,0.12,7.57,16.67,24.21,0.98,0.07,0.92,0,0,0,0,0,0,0
6516,-658250,-1691404,258.5,19.9,31.14,24.54,947.31,221.24,9.64,76.86,0.12,51.37,17.44,25.09,72.72,0,0.27,0.01,0,0,0,0,0,0
4516,-458250,-1691404,273.82,21.95,30.76,23.67,1023.34,283.82,4.37,5.32,0.02,270.02,15.52,24.91,9.78,0.15,0.71,0.03,0.01,0,0,0,0,0
4016,-408250,-1691404,280.39,22.67,30.59,23.38,1040.8,294.81,4,55.09,0.11,287.54,14.88,23.69,0,0,0.98,0,0,0,0,0.02,0,0
3516,-358250,-1691404,290.77,23.42,29.75,22.31,1073.03,305.94,5,203.42,0.13,307.73,13.56,23.19,0,0,1,0,0,0,0,0,0,0
3016,-308250,-1691404,300.37,24.18,30.2,22.45,1033.46,290.84,5,290.73,0.08,15.48,13.35,23.09,0,0,1,0,0,0,0,0,0,0
2516,-258250,-1691404,308.95,24.8,30.7,22.81,977.77,276.25,4,169.78,0.07,48.49,13.41,23.83,0,0,1,0,0,0,0,0,0,0
2016,-208250,-1691404,319.02,25.4,30.89,22.69,936.4,269.91,5,114.52,0.03,318.59,13.19,23.79,0,0,1,0,0,0,0,0,0,0
1516,-158250,-1691404,324.18,25.42,30.44,22.22,913.99,265.28,7.89,160.3,0.04,266.71,12.82,23.85,0,0,1,0,0,0,0,0,0,0
1016,-108250,-1691404,323.82,25.19,30.69,22.4,863.38,231.97,9,181.28,0.04,184.33,13.2,23.49,0,0,1,0,0,0,0,0,0,0
5816,-58250,-1691404,323.03,24.83,30.9,22.6,839.85,208.54,8.02,141.19,0.08,141.55,13.67,23.78,0,0,1,0,0,0,0,0,0,0
8216,-8250,-1691404,327.03,24.7,30.92,22.63,869.26,384.01,5.4,83.42,0.09,133.04,13.83,24.35,0,0,1,0,0,0,0,0,0,0
4116,41750,-1691404,331.7,24.5,31.04,22.5,833.55,380.56,4,30.87,0.06,166.15,14,24.6,0,0,1,0,0,0,0,0,0,0
9116,91750,-1691404,318.38,23.33,31.1,22.9,856.12,381.43,3,73.26,0.05,137.57,14.87,24.61,0,0.22,0.78,0,0,0,0,0,0,0
1416,141750,-1691404,307.42,21.91,30.9,22.98,927.27,390.85,4,6.51,0.04,112.75,15.51,25.09,9.72,0.37,0.53,0,0,0,0,0,0,0
8916,891750,-1691404,209.84,19.11,28.61,23.21,1277.53,558.93,5,45.29,0.06,253.25,16,24,0,0,1,0,0,0,0,0,0,0
9416,941750,-1691404,212.21,19.23,28.28,22.8,1216.44,534.99,7,94.77,0.06,247.39,15.59,23.52,0,0,1,0,0,0,0,0,0,0
9916,991750,-1691404,216.33,19.06,27.77,22.21,1195.98,520.58,10.58,141.66,0.15,247.94,15.17,23,0,0,1,0,0,0,0,0,0,0
1016,1041750,-1691404,212.3,18.25,28.35,22.95,1235.54,533.59,13.47,291.14,0.12,140.77,16.18,23.41,15.28,0,0.85,0,0,0,0,0,0,0
1116,1141750,-1691404,192.47,15.07,27.81,22.99,1305.44,513.16,39.34,0,0.02,354.75,17.81,23.89,85.12,0,0.12,0,0,0,0,0,0,0.03
9017,-908250,-1741404,219.18,16.83,28.83,23.33,1454.01,327.27,18,213.99,0.19,309.48,17.16,24.77,6.5,0,0.94,0,0,0,0,0,0,0
8517,-858250,-1741404,243.3,18.33,28.9,22.76,1378.26,336.62,17.43,306.03,0.15,340.09,16.26,24.75,3.02,0,0.92,0.05,0,0,0,0,0,0
8017,-808250,-1741404,262.14,19.51,29.2,22.6,1235.36,305.16,16.03,227.65,0.13,4.86,15.79,23.83,0,0,1,0,0,0,0,0,0,0
7517,-758250,-1741404,273.49,20.33,29.46,22.56,1122.82,280.71,16,277.14,0.14,0.63,15.5,23.93,0,0.23,0.77,0,0,0,0,0,0,0
7017,-708250,-1741404,276.99,20.6,29.95,22.93,1010.11,250.88,13.73,257.6,0.13,24.05,15.75,23.9,0,0.1,0.9,0,0,0,0,0,0,0
6517,-658250,-1741404,277.97,20.78,30.99,23.89,886.1,215.61,10.45,161.04,0.17,66.52,16.68,24.53,11.3,0.18,0.68,0.03,0,0,0,0,0,0
6017,-608250,-1741404,276.8,21.13,31.8,24.69,830.43,202.45,8,0,0.06,60.39,17.16,25.55,66.08,0.14,0.18,0.02,0,0,0,0,0,0
5517,-558250,-1741404,283.52,21.62,31.73,24.42,857.91,220.7,6,81.48,0.03,352.95,16.62,25.59,35.2,0.22,0.35,0.08,0,0,0,0,0,0
4517,-458250,-1741404,294.25,22.52,31.22,23.69,925.12,262.76,3.49,0,0.07,335.06,15.4,25.2,32.02,0.08,0.46,0.14,0,0,0,0,0,0
4017,-408250,-1741404,304.22,23.13,30.05,22.26,985.05,289.04,4.39,41.91,0.08,277.96,13.85,24.41,0,0,0.98,0.02,0,0,0,0,0,0
3517,-358250,-1741404,309.08,23.85,31.04,23.15,924.03,263.78,2.06,265.43,0.11,230.19,14.29,23.86,0,0.01,0.99,0,0,0,0,0,0,0
3017,-308250,-1741404,323.13,24.69,30.07,21.85,952.07,259.23,5,224.63,0.08,170.12,12.7,23.48,0,0.02,0.98,0,0,0,0,0,0,0
2517,-258250,-1741404,331.41,25.35,30.46,22.05,906.76,246.11,5.85,160.24,0.02,111.7,12.65,23.75,0,0,1,0,0,0,0,0,0,0
2017,-208250,-1741404,338.02,25.8,30.56,21.98,869.97,239.61,6,167.03,0.04,347.98,12.46,23.9,0,0,1,0,0,0,0,0,0,0
1517,-158250,-1741404,339.5,25.8,30.53,21.93,837.11,229.46,7,192.8,0.02,335.41,12.5,23.8,0,0,1,0,0,0,0,0,0,0
1017,-108250,-1741404,337.33,25.52,30.52,22,807.72,211.15,7.78,190.87,0.02,59.37,12.7,23.7,0,0,1,0,0,0,0,0,0,0
5817,-58250,-1741404,337.95,25.32,30.7,22.17,788.41,370.33,7,136,0.05,47.81,12.98,24.14,0,0,1,0,0,0,0,0,0,0
8217,-8250,-1741404,341.08,25.3,31.1,22.38,799.25,357.82,5,109.6,0.08,40.56,13.3,24.4,0,0.05,0.95,0,0,0,0,0,0,0
4117,41750,-1741404,341.58,24.91,31.19,22.4,792.72,356.9,4,39.16,0.06,19.9,13.69,24.56,0,0.41,0.59,0,0,0,0,0,0,0
9117,91750,-1741404,337.73,24.18,31.02,22.33,817.56,363.68,4.89,77.15,0.05,29.93,14.02,24.79,0,0.59,0.41,0,0,0,0,0,0,0
1417,141750,-1741404,325.26,22.79,30.88,22.49,869.85,371.43,4,18.69,0.05,56.42,14.79,25.1,12.68,0.34,0.53,0,0,0,0,0,0,0
8417,841750,-1741404,221,19.75,29.1,23.45,1266.81,550,4,0,0.02,259.15,15.8,24.2,22.3,0,0.78,0,0,0,0,0,0,0
8917,891750,-1741404,221.57,20.08,28.88,23.2,1213.22,540.17,6,31.83,0.05,255.9,15.5,23.92,0,0,1,0,0,0,0,0,0,0
9417,941750,-1741404,223.85,20.31,28.6,22.8,1165.51,521.85,7,75.05,0.06,256.8,15.09,23.69,0,0,1,0,0,0,0,0,0,0
9917,991750,-1741404,229.02,20.42,28.19,22.39,1143.24,503.9,10,148.49,0.09,245.84,14.6,23.17,0,0,1,0,0,0,0,0,0,0
1017,1041750,-1741404,225.02,19.68,28.5,22.75,1130.82,500.12,14.57,244.77,0.08,126.42,15.31,22.66,0,0,1,0,0,0,0,0,0,0
1017,1091750,-1741404,208.69,17.54,28.5,23.19,1073.62,485.4,17,24.42,0.11,90.64,16.75,23.83,11.6,0,0.86,0.02,0,0,0,0,0,0
1117,1141750,-1741404,198.14,15.49,27.89,22.87,1218.46,499.86,33.54,30.87,0.05,337.76,17.5,23.9,9.28,0,0.91,0,0,0,0,0,0,0
9517,-958250,-1791404,209.14,16.69,29.57,24.26,1293.61,219.63,16.03,0,0.12,279.05,17.79,25.37,42.12,0,0.5,0.02,0.06,0,0,0.01,0,0
9017,-908250,-1791404,237.11,18.11,28.95,22.96,1338.42,289.9,17.41,312.3,0.2,271.95,16.3,25.38,2.4,0,0.98,0,0,0,0,0,0,0
8517,-858250,-1791404,261.86,19.37,28.59,21.98,1308.99,347.91,18,336.96,0.1,310.45,15.14,23.86,0,0,1,0,0,0,0,0,0,0
8017,-808250,-1791404,276.32,20.48,29.37,22.37,1167.98,294.99,15,413.13,0.1,9.63,15.19,23.2,0,0.06,0.94,0,0,0,0,0,0,0
7517,-758250,-1791404,289.85,21.16,29.51,22.15,1069.81,276.73,15.52,344.51,0.07,10.58,14.85,23.5,0,0.5,0.5,0,0,0,0,0,0,0
7017,-708250,-1791404,293.85,21.55,30.84,23.39,905.01,230.3,11.02,398.37,0.1,73.67,15.89,23.7,0,0.99,0.01,0,0,0,0,0,0,0
6517,-658250,-1791404,289.78,21.63,32.32,24.95,745.79,183.99,7,195.75,0.18,86.16,17.34,25.27,9.38,0.91,0,0,0,0,0,0,0,0
6017,-608250,-1791404,296.84,22.1,32.4,24.8,738.62,189.32,7,2.89,0.05,54.57,16.93,25.72,6.72,0.32,0.48,0.12,0,0,0,0.01,0,0
5517,-558250,-1791404,306.05,22.67,31.65,23.89,789.86,211.19,5.95,76.94,0.04,355.94,15.76,25.46,0,0.07,0.85,0.08,0,0,0,0,0,0
5017,-508250,-1791404,315.54,23.09,30.79,22.8,875.06,248.62,7,17.1,0.06,336.95,14.52,25.5,0.7,0.16,0.69,0.14,0,0,0,0,0,0
4517,-458250,-1791404,317.84,23.42,30.71,22.68,881.01,257.89,5,195.45,0.06,336.49,14.18,24.5,4,0.08,0.77,0.11,0,0,0,0,0,0
